settlement_date,settlement_code,profiled_spm_consumption_sp01,profiled_spm_consumption_sp02,profiled_spm_consumption_sp03,profiled_spm_consumption_sp04,profiled_spm_consumption_sp05,profiled_spm_consumption_sp06,profiled_spm_consumption_sp07,profiled_spm_consumption_sp08,profiled_spm_consumption_sp09,profiled_spm_consumption_sp10,profiled_spm_consumption_sp11,profiled_spm_consumption_sp12,profiled_spm_consumption_sp13,profiled_spm_consumption_sp14,profiled_spm_consumption_sp15,profiled_spm_consumption_sp16,profiled_spm_consumption_sp17,profiled_spm_consumption_sp18,profiled_spm_consumption_sp19,profiled_spm_consumption_sp20,profiled_spm_consumption_sp21,profiled_spm_consumption_sp22,profiled_spm_consumption_sp23,profiled_spm_consumption_sp24,profiled_spm_consumption_sp25,profiled_spm_consumption_sp26,profiled_spm_consumption_sp27,profiled_spm_consumption_sp28,profiled_spm_consumption_sp29,profiled_spm_consumption_sp30,profiled_spm_consumption_sp31,profiled_spm_consumption_sp32,profiled_spm_consumption_sp33,profiled_spm_consumption_sp34,profiled_spm_consumption_sp35,profiled_spm_consumption_sp36,profiled_spm_consumption_sp37,profiled_spm_consumption_sp38,profiled_spm_consumption_sp39,profiled_spm_consumption_sp40
13/01/2023 00:00,SF,21.984,22.712,21.872,21.223,20.534,19.997,19.467,18.912,18.708,18.617,19.047,19.631,21.89,24.772,27.058,27.28,29.292,30.019,30.526,30.281,30.626,29.849,29.759,30.119,31.115,30.998,30.844,30.626,29.914,29.8,30.064,31.362,34.578,38.625,41.86,42.339,43.031,41.851,39.638,37.504
13/01/2023 00:00,R1,21.808,22.286,21.478,20.841,20.156,19.601,19.08,18.519,18.311,18.247,18.687,19.259,21.507,24.385,26.748,27.26,29.285,30.015,30.54,30.288,30.634,29.856,29.763,30.102,31.124,30.991,30.821,30.599,29.9,29.77,30.038,31.318,34.56,38.609,41.809,42.302,43.007,41.819,39.594,37.454
14/01/2023 00:00,SF,22.943,23.552,22.19,21.8,21.045,20.361,19.725,19.373,19.009,18.651,18.798,19.006,20.23,21.623,22.485,23.103,25.996,27.592,29.741,30.891,31.965,31.689,32.258,32.924,33.644,33.753,33.795,32.991,32.708,32.161,32.828,33.508,35.839,39.31,42.63,43.682,43.759,41.768,39.302,37.098
14/01/2023 00:00,R1,22.742,23.091,21.764,21.384,20.625,19.936,19.31,18.958,18.607,18.279,18.448,18.646,19.862,21.261,22.222,23.082,25.985,27.571,29.707,30.849,31.932,31.684,32.236,32.906,33.636,33.715,33.774,32.951,32.661,32.105,32.776,33.46,35.805,39.289,42.592,43.641,43.724,41.714,39.235,37.06
15/01/2023 00:00,SF,24.431,25.405,23.936,23.381,22.531,21.748,21.232,20.638,20.325,19.818,20.086,20.27,21.05,22.444,22.663,23.712,26.21,28.443,31.311,33.145,33.92,34.215,35.276,36.347,37.633,38.107,37.891,37.122,36.923,36.52,37.011,38.488,41.077,45.071,47.693,48.5,47.604,45.045,42.636,40.307
15/01/2023 00:00,R1,24.208,24.871,23.443,22.894,22.07,21.276,20.783,20.195,19.875,19.413,19.698,19.88,20.657,22.07,22.397,23.711,26.208,28.428,31.295,33.112,33.904,34.198,35.26,36.331,37.609,38.047,37.841,37.06,36.876,36.47,36.956,38.42,41.012,45.017,47.628,48.422,47.525,44.977,42.551,40.23
16/01/2023 00:00,SF,24.811,25.935,24.953,24.492,23.905,23.377,22.899,22.545,22.019,21.809,22.152,22.773,25,28.154,30.057,30.601,32.457,33.286,33.736,33.704,33.736,33.522,33.577,34.134,34.867,35.174,35.236,34.488,33.606,33.08,33.484,34.865,38.044,42.588,46.274,48.429,48.754,46.907,44.571,42.563
16/01/2023 00:00,R1,24.769,25.59,24.626,24.171,23.578,23.028,22.569,22.187,21.674,21.481,21.831,22.444,24.681,27.842,29.847,30.711,32.617,33.445,33.903,33.876,33.919,33.722,33.765,34.313,35.059,35.35,35.415,34.658,33.766,33.235,33.639,35.011,38.204,42.772,46.452,48.606,48.95,47.081,44.717,42.728
17/01/2023 00:00,SF,26.981,28.247,27.255,26.949,26.47,26.192,25.848,25.282,24.751,24.395,24.528,24.918,27.18,30.303,32.175,32.481,34.502,35.159,35.649,35.546,35.044,34.989,35.039,35.594,35.932,36.517,36.69,35.947,34.911,34.704,35.316,36.6,39.24,43.822,47.986,49.693,50.348,48.805,46.841,44.689
17/01/2023 00:00,R1,26.909,27.835,26.871,26.558,26.082,25.771,25.434,24.851,24.319,23.995,24.151,24.542,26.791,29.913,31.902,32.584,34.639,35.317,35.819,35.73,35.227,35.187,35.231,35.748,36.099,36.673,36.849,36.112,35.067,34.86,35.472,36.736,39.396,43.992,48.135,49.866,50.534,48.964,46.955,44.841
